sym,sym href,slw,sl,svelte-eurwtr
BCO,https://stockanalysis.com/stocks/bco/,The Brink's Company,Security & Protection Services,4.65B
BCOV,https://stockanalysis.com/stocks/bcov/,Brightcove Inc.,Software - Application,99.28M
BCOW,https://stockanalysis.com/stocks/bcow/,"1895 Bancorp of Wisconsin, Inc.",Banks - Regional,48.79M
BCPC,https://stockanalysis.com/stocks/bcpc/,Balchem Corporation,Specialty Chemicals,5.49B
BCRX,https://stockanalysis.com/stocks/bcrx/,"BioCryst Pharmaceuticals, Inc.",Biotechnology,1.66B
BCS,https://stockanalysis.com/stocks/bcs/,Barclays PLC,Banks - Diversified,43.07B
BCSA,https://stockanalysis.com/stocks/bcsa/,Blockchain Coinvestors Acquisition Corp. I,Shell Companies,144.49M
BCSF,https://stockanalysis.com/stocks/bcsf/,"Bain Capital Specialty Finance, Inc.",Asset Management,1.05B
BCTX,https://stockanalysis.com/stocks/bctx/,BriaCell Therapeutics Corp.,Biotechnology,13.32M
BCYC,https://stockanalysis.com/stocks/bcyc/,Bicycle Therapeutics plc,Biotechnology,1.55B
BDC,https://stockanalysis.com/stocks/bdc/,Belden Inc.,Communication Equipment,4.29B
BDL,https://stockanalysis.com/stocks/bdl/,"Flanigan's Enterprises, Inc.",Restaurants,51.76M
BDN,https://stockanalysis.com/stocks/bdn/,Brandywine Realty Trust,REIT - Office,887.55M
BDRX,https://stockanalysis.com/stocks/bdrx/,Biodexa Pharmaceuticals Plc,Biotechnology,9.29M
BDSX,https://stockanalysis.com/stocks/bdsx/,"Biodesix, Inc.",Diagnostics & Research,258.42M
BDTX,https://stockanalysis.com/stocks/bdtx/,"Black Diamond Therapeutics, Inc.",Biotechnology,368.98M
BDX,https://stockanalysis.com/stocks/bdx/,"Becton, Dickinson and Company",Medical Instruments & Supplies,67.88B
BE,https://stockanalysis.com/stocks/be/,Bloom Energy Corporation,Electrical Equipment & Parts,2.64B
BEAM,https://stockanalysis.com/stocks/beam/,Beam Therapeutics Inc.,Biotechnology,2.02B
BEAT,https://stockanalysis.com/stocks/beat/,"HeartBeam, Inc.",Health Information Services,59.76M
BECN,https://stockanalysis.com/stocks/becn/,"Beacon Roofing Supply, Inc.",Industrial Distribution,5.37B
BEDU,https://stockanalysis.com/stocks/bedu/,Bright Scholar Education Holdings Limited,Education & Training Services,54.70M
BEEM,https://stockanalysis.com/stocks/beem/,Beam Global,Solar,80.71M
BEEP,https://stockanalysis.com/stocks/beep/,Mobile Infrastructure Corporation,Infrastructure Operations,88.99M
BEKE,https://stockanalysis.com/stocks/beke/,KE Holdings Inc.,Real Estate Services,17.82B
BELFA,https://stockanalysis.com/stocks/belfa/,Bel Fuse Inc.,Electronic Components,1.08B
BELFB,https://stockanalysis.com/stocks/belfb/,Bel Fuse Inc.,Electronic Components,866.17M
BEN,https://stockanalysis.com/stocks/ben/,"Franklin Resources, Inc.",Asset Management,10.34B
BENF,https://stockanalysis.com/stocks/benf/,Beneficient,Asset Management,9.80M
BEP,https://stockanalysis.com/stocks/bep/,Brookfield Renewable Partners L.P.,Utilities - Renewable,11.58B
BEPC,https://stockanalysis.com/stocks/bepc/,Brookfield Renewable Corporation,Utilities - Renewable,10.50B
BERY,https://stockanalysis.com/stocks/bery/,"Berry Global Group, Inc.",Packaging & Containers,7.48B
BEST,https://stockanalysis.com/stocks/best/,BEST Inc.,Trucking,51.41M
BETR,https://stockanalysis.com/stocks/betr/,Better Home & Finance Holding Company,Mortgage Finance,318.00M
BF.A,https://stockanalysis.com/stocks/bf.a/,Brown-Forman Corporation,Beverages - Wineries & Distilleries,21.41B
BF.B,https://stockanalysis.com/stocks/bf.b/,Brown-Forman Corporation,Beverages - Wineries & Distilleries,21.35B
BFAC,https://stockanalysis.com/stocks/bfac/,Battery Future Acquisition Corp.,Shell Companies,136.50M
BFAM,https://stockanalysis.com/stocks/bfam/,Bright Horizons Family Solutions Inc.,Personal Services,7.95B
BFC,https://stockanalysis.com/stocks/bfc/,Bank First Corporation,Banks - Regional,881.91M
BFH,https://stockanalysis.com/stocks/bfh/,"Bread Financial Holdings, Inc.",Credit Services,2.71B
BFI,https://stockanalysis.com/stocks/bfi/,"BurgerFi International, Inc.",Restaurants,5.99M
BFIN,https://stockanalysis.com/stocks/bfin/,BankFinancial Corporation,Banks - Regional,148.16M
BFLY,https://stockanalysis.com/stocks/bfly/,"Butterfly Network, Inc.",Medical Devices,199.67M
BFRG,https://stockanalysis.com/stocks/bfrg/,"Bullfrog AI Holdings, Inc.",Health Information Services,21.20M
BFRI,https://stockanalysis.com/stocks/bfri/,Biofrontera Inc.,Drug Manufacturers - Specialty & Generic,6.71M
BFS,https://stockanalysis.com/stocks/bfs/,"Saul Centers, Inc.",REIT - Retail,954.10M
BFST,https://stockanalysis.com/stocks/bfst/,"Business First Bancshares, Inc.",Banks - Regional,583.49M
BG,https://stockanalysis.com/stocks/bg/,Bunge Global SA,Farm Products,13.65B
BGC,https://stockanalysis.com/stocks/bgc/,"BGC Group, Inc.",Capital Markets,4.60B
BGFV,https://stockanalysis.com/stocks/bgfv/,Big 5 Sporting Goods Corporation,Specialty Retail,41.80M
BGI,https://stockanalysis.com/stocks/bgi/,Birks Group Inc.,Luxury Goods,51.20M
BGLC,https://stockanalysis.com/stocks/bglc/,BioNexus Gene Lab Corp.,Specialty Chemicals,7.66M
BGM,https://stockanalysis.com/stocks/bgm/,Qilian International Holding Group Limited,-,41.83M
BGNE,https://stockanalysis.com/stocks/bgne/,"BeiGene, Ltd.",Biotechnology,21.01B
BGS,https://stockanalysis.com/stocks/bgs/,"B&G Foods, Inc.",Packaged Foods,662.60M
BGSF,https://stockanalysis.com/stocks/bgsf/,"BGSF, Inc.",Staffing & Employment Services,86.55M
BGXX,https://stockanalysis.com/stocks/bgxx/,Bright Green Corporation,Drug Manufacturers - Specialty & Generic,42.24M
BH,https://stockanalysis.com/stocks/bh/,Biglari Holdings Inc.,Restaurants,550.19M
BH.A,https://stockanalysis.com/stocks/bh.a/,Biglari Holdings Inc.,Restaurants,558.53M
BHAC,https://stockanalysis.com/stocks/bhac/,Focus Impact BH3 Acquisition Company,Shell Companies,74.04M
BHAT,https://stockanalysis.com/stocks/bhat/,Blue Hat Interactive Entertainment Technology,Electronic Gaming & Multimedia,30.19M
BHB,https://stockanalysis.com/stocks/bhb/,Bar Harbor Bankshares,Banks - Regional,456.94M
BHC,https://stockanalysis.com/stocks/bhc/,Bausch Health Companies Inc.,Drug Manufacturers - Specialty & Generic,2.14B
BHE,https://stockanalysis.com/stocks/bhe/,"Benchmark Electronics, Inc.",Electronic Components,1.52B
BHF,https://stockanalysis.com/stocks/bhf/,"Brighthouse Financial, Inc.",Insurance - Life,2.66B
BHIL,https://stockanalysis.com/stocks/bhil/,"Benson Hill, Inc.",Agricultural Inputs,38.25M
BHLB,https://stockanalysis.com/stocks/bhlb/,"Berkshire Hills Bancorp, Inc.",Banks - Regional,1.11B
BHM,https://stockanalysis.com/stocks/bhm/,"Bluerock Homes Trust, Inc.",REIT - Residential,65.65M
BHP,https://stockanalysis.com/stocks/bhp/,BHP Group Limited,Other Industrial Metals & Mining,139.90B
BHR,https://stockanalysis.com/stocks/bhr/,Braemar Hotels & Resorts Inc.,REIT - Hotel & Motel,192.43M
BHRB,https://stockanalysis.com/stocks/bhrb/,Burke & Herbert Financial Services Corp.,Banks - Regional,934.51M
BHVN,https://stockanalysis.com/stocks/bhvn/,Biohaven Ltd.,Biotechnology,3.90B
BIAF,https://stockanalysis.com/stocks/biaf/,"bioAffinity Technologies, Inc.",Diagnostics & Research,23.40M
BIDU,https://stockanalysis.com/stocks/bidu/,"Baidu, Inc.",Internet Content & Information,31.47B
BIG,https://stockanalysis.com/stocks/big/,"Big Lots, Inc.",Discount Stores,33.24M
BIGC,https://stockanalysis.com/stocks/bigc/,"BigCommerce Holdings, Inc.",Software - Application,461.08M
BIIB,https://stockanalysis.com/stocks/biib/,Biogen Inc.,Drug Manufacturers - General,30.03B
BILI,https://stockanalysis.com/stocks/bili/,Bilibili Inc.,Electronic Gaming & Multimedia,5.81B
BILL,https://stockanalysis.com/stocks/bill/,"BILL Holdings, Inc.",Software - Application,5.41B
BIMI,https://stockanalysis.com/stocks/bimi/,BIMI Holdings Inc.,Pharmaceutical Retailers,4.33M
BIO,https://stockanalysis.com/stocks/bio/,"Bio-Rad Laboratories, Inc.",Medical Devices,8.81B
BIO.B,https://stockanalysis.com/stocks/bio.b/,"Bio-Rad Laboratories, Inc.",Medical Devices,8.92B
BIOR,https://stockanalysis.com/stocks/bior/,"Biora Therapeutics, Inc.",Biotechnology,25.20M
BIOX,https://stockanalysis.com/stocks/biox/,Bioceres Crop Solutions Corp.,Agricultural Inputs,635.99M
BIP,https://stockanalysis.com/stocks/bip/,Brookfield Infrastructure Partners L.P.,Utilities - Diversified,14.74B
BIPC,https://stockanalysis.com/stocks/bipc/,Brookfield Infrastructure Corporation,Utilities - Regulated Gas,5.61B
BIRD,https://stockanalysis.com/stocks/bird/,"Allbirds, Inc.",Apparel Retail,121.38M
BIRK,https://stockanalysis.com/stocks/birk/,Birkenstock Holding plc,Footwear & Accessories,11.84B
BITF,https://stockanalysis.com/stocks/bitf/,Bitfarms Ltd.,Capital Markets,1.06B
BIVI,https://stockanalysis.com/stocks/bivi/,BioVie Inc.,Biotechnology,20.90M
BJ,https://stockanalysis.com/stocks/bj/,"BJ's Wholesale Club Holdings, Inc.",Discount Stores,11.63B
BJDX,https://stockanalysis.com/stocks/bjdx/,"Bluejay Diagnostics, Inc.",Medical Devices,1.59M
BJRI,https://stockanalysis.com/stocks/bjri/,"BJ's Restaurants, Inc.",Restaurants,732.61M
BK,https://stockanalysis.com/stocks/bk/,The Bank of New York Mellon Corporation,Asset Management,48.14B
BKD,https://stockanalysis.com/stocks/bkd/,Brookdale Senior Living Inc.,Medical Care Facilities,1.34B
BKE,https://stockanalysis.com/stocks/bke/,"The Buckle, Inc.",Apparel Retail,2.10B
BKH,https://stockanalysis.com/stocks/bkh/,Black Hills Corporation,Utilities - Regulated Gas,4.02B
BKHA,https://stockanalysis.com/stocks/bkha/,Black Hawk Acquisition Corporation,Shell Companies,90.99M
BKKT,https://stockanalysis.com/stocks/bkkt/,"Bakkt Holdings, Inc.",Software - Infrastructure,91.60M
BKNG,https://stockanalysis.com/stocks/bkng/,Booking Holdings Inc.,Travel Services,125.31B
BKR,https://stockanalysis.com/stocks/bkr/,Baker Hughes Company,Oil & Gas Equipment & Services,34.22B
BKSY,https://stockanalysis.com/stocks/bksy/,BlackSky Technology Inc.,Scientific & Technical Instruments,178.77M
BKTI,https://stockanalysis.com/stocks/bkti/,BK Technologies Corporation,Communication Equipment,73.92M
BKU,https://stockanalysis.com/stocks/bku/,"BankUnited, Inc.",Banks - Regional,2.72B
BKYI,https://stockanalysis.com/stocks/bkyi/,"BIO-key International, Inc.",Security & Protection Services,2.50M
BL,https://stockanalysis.com/stocks/bl/,"BlackLine, Inc.",Software - Application,3.16B
BLAC,https://stockanalysis.com/stocks/blac/,Bellevue Life Sciences Acquisition Corp.,Shell Companies,60.76M
BLBD,https://stockanalysis.com/stocks/blbd/,Blue Bird Corporation,Auto Manufacturers,1.52B
BLBX,https://stockanalysis.com/stocks/blbx/,Blackboxstocks Inc.,Software - Application,8.58M
BLCO,https://stockanalysis.com/stocks/blco/,Bausch + Lomb Corporation,Medical Instruments & Supplies,5.68B
BLD,https://stockanalysis.com/stocks/bld/,TopBuild Corp.,Engineering & Construction,11.70B
BLDE,https://stockanalysis.com/stocks/blde/,"Blade Air Mobility, Inc.",Airports & Air Services,234.58M
BLDP,https://stockanalysis.com/stocks/bldp/,Ballard Power Systems Inc.,Specialty Industrial Machinery,568.56M
BLDR,https://stockanalysis.com/stocks/bldr/,"Builders FirstSource, Inc.",Building Products & Equipment,19.59B
BLEU,https://stockanalysis.com/stocks/bleu/,bleuacacia ltd,Shell Companies,81.75M
BLFS,https://stockanalysis.com/stocks/blfs/,"BioLife Solutions, Inc.",Medical Instruments & Supplies,1.19B
BLFY,https://stockanalysis.com/stocks/blfy/,Blue Foundry Bancorp,Banks - Regional,217.78M
BLIN,https://stockanalysis.com/stocks/blin/,"Bridgeline Digital, Inc.",Software - Infrastructure,8.64M
BLK,https://stockanalysis.com/stocks/blk/,"BlackRock, Inc.",Asset Management,127.85B
BLKB,https://stockanalysis.com/stocks/blkb/,"Blackbaud, Inc.",Software - Application,4.01B
BLMN,https://stockanalysis.com/stocks/blmn/,"Bloomin' Brands, Inc.",Restaurants,1.54B
BLMZ,https://stockanalysis.com/stocks/blmz/,BloomZ Inc.,Electronic Gaming & Multimedia,14.42M
BLND,https://stockanalysis.com/stocks/blnd/,"Blend Labs, Inc.",Software - Application,1.04B
BLNK,https://stockanalysis.com/stocks/blnk/,Blink Charging Co.,Engineering & Construction,213.43M
BLRX,https://stockanalysis.com/stocks/blrx/,BioLineRx Ltd.,Biotechnology,60.23M
BLTE,https://stockanalysis.com/stocks/blte/,"Belite Bio, Inc",Biotechnology,1.51B
BLUE,https://stockanalysis.com/stocks/blue/,"bluebird bio, Inc.",Biotechnology,138.25M
BLX,https://stockanalysis.com/stocks/blx/,"Banco Latinoamericano de Comercio Exterior, S. A.",Banks - Regional,1.11B
BLZE,https://stockanalysis.com/stocks/blze/,"Backblaze, Inc.",Software - Infrastructure,275.33M
BMA,https://stockanalysis.com/stocks/bma/,Banco Macro S.A.,Banks - Regional,4.96B
BMBL,https://stockanalysis.com/stocks/bmbl/,Bumble Inc.,Software - Application,821.24M
BMEA,https://stockanalysis.com/stocks/bmea/,"Biomea Fusion, Inc.",Biotechnology,227.04M
BMI,https://stockanalysis.com/stocks/bmi/,"Badger Meter, Inc.",Scientific & Technical Instruments,6.02B
BMO,https://stockanalysis.com/stocks/bmo/,Bank of Montreal,Banks - Diversified,63.11B
BMR,https://stockanalysis.com/stocks/bmr/,Beamr Imaging Ltd.,Software - Application,59.10M
BMRA,https://stockanalysis.com/stocks/bmra/,"Biomerica, Inc.",Medical Devices,7.32M
BMRC,https://stockanalysis.com/stocks/bmrc/,Bank of Marin Bancorp,Banks - Regional,313.67M
BMRN,https://stockanalysis.com/stocks/bmrn/,BioMarin Pharmaceutical Inc.,Biotechnology,17.62B
BMTX,https://stockanalysis.com/stocks/bmtx/,"BM Technologies, Inc.",Software - Application,41.99M
BMY,https://stockanalysis.com/stocks/bmy/,Bristol-Myers Squibb Company,Drug Manufacturers - General,98.21B
BN,https://stockanalysis.com/stocks/bn/,Brookfield Corporation,Asset Management,72.64B
BNAI,https://stockanalysis.com/stocks/bnai/,"Brand Engagement Network, Inc.",Software - Infrastructure,66.53M
BNED,https://stockanalysis.com/stocks/bned/,"Barnes & Noble Education, Inc.",Specialty Retail,320.79M
BNGO,https://stockanalysis.com/stocks/bngo/,"Bionano Genomics, Inc.",Medical Instruments & Supplies,47.30M
BNIX,https://stockanalysis.com/stocks/bnix/,Bannix Acquisition Corp.,Shell Companies,45.43M
BNL,https://stockanalysis.com/stocks/bnl/,"Broadstone Net Lease, Inc.",REIT - Diversified,3.38B
BNOX,https://stockanalysis.com/stocks/bnox/,Bionomics Limited,Biotechnology,8.53M
BNR,https://stockanalysis.com/stocks/bnr/,Burning Rock Biotech Limited,Diagnostics & Research,64.03M
BNRE,https://stockanalysis.com/stocks/bnre/,Brookfield Reinsurance Ltd.,Insurance - Reinsurance,8.10B
BNRE.A,https://stockanalysis.com/stocks/bnre.a/,Brookfield Reinsurance Ltd.,Insurance - Reinsurance,8.04B
BNRG,https://stockanalysis.com/stocks/bnrg/,Brenmiller Energy Ltd,Utilities - Renewable,4.96M
BNS,https://stockanalysis.com/stocks/bns/,The Bank of Nova Scotia,Banks - Diversified,58.74B
BNTC,https://stockanalysis.com/stocks/bntc/,Benitec Biopharma Inc.,Biotechnology,90.37M
BNTX,https://stockanalysis.com/stocks/bntx/,BioNTech SE,Biotechnology,21.16B
BNZI,https://stockanalysis.com/stocks/bnzi/,"Banzai International, Inc.",Software - Application,4.63M
BOC,https://stockanalysis.com/stocks/boc/,Boston Omaha Corporation,Conglomerates,420.61M
BOCN,https://stockanalysis.com/stocks/bocn/,Blue Ocean Acquisition Corp.,Shell Companies,74.35M
BODI,https://stockanalysis.com/stocks/bodi/,"The Beachbody Company, Inc.",Internet Content & Information,47.44M
BOF,https://stockanalysis.com/stocks/bof/,BranchOut Food Inc.,Packaged Foods,4.45M
BOH,https://stockanalysis.com/stocks/boh/,Bank of Hawaii Corporation,Banks - Regional,2.57B
BOKF,https://stockanalysis.com/stocks/bokf/,BOK Financial Corporation,Banks - Regional,6.44B
BOLD,https://stockanalysis.com/stocks/bold/,"Boundless Bio, Inc.",Biotechnology,81.00M
BOLT,https://stockanalysis.com/stocks/bolt/,"Bolt Biotherapeutics, Inc.",Biotechnology,26.41M
BON,https://stockanalysis.com/stocks/bon/,Bon Natural Life Limited,Packaged Foods,8.67M
BOOM,https://stockanalysis.com/stocks/boom/,DMC Global Inc.,Oil & Gas Equipment & Services,227.04M
BOOT,https://stockanalysis.com/stocks/boot/,"Boot Barn Holdings, Inc.",Apparel Retail,4.26B
BORR,https://stockanalysis.com/stocks/borr/,Borr Drilling Limited,Oil & Gas Drilling,1.53B
BOSC,https://stockanalysis.com/stocks/bosc/,B.O.S. Better Online Solutions Ltd.,Communication Equipment,16.96M
BOTJ,https://stockanalysis.com/stocks/botj/,"Bank of the James Financial Group, Inc.",Banks - Regional,59.76M
BOW,https://stockanalysis.com/stocks/bow/,Bowhead Specialty Holdings Inc.,Insurance - Property & Casualty,992.50M
BOWL,https://stockanalysis.com/stocks/bowl/,Bowlero Corp.,Leisure,1.70B
BOWN,https://stockanalysis.com/stocks/bown/,Bowen Acquisition Corp,Shell Companies,97.71M
BOX,https://stockanalysis.com/stocks/box/,"Box, Inc.",Software - Infrastructure,4.12B
BOXL,https://stockanalysis.com/stocks/boxl/,Boxlight Corporation,Communication Equipment,4.44M
BP,https://stockanalysis.com/stocks/bp/,BP p.l.c.,Oil & Gas Integrated,90.43B
BPMC,https://stockanalysis.com/stocks/bpmc/,Blueprint Medicines Corporation,Biotechnology,6.00B
BPOP,https://stockanalysis.com/stocks/bpop/,"Popular, Inc.",Banks - Regional,7.07B
BPRN,https://stockanalysis.com/stocks/bprn/,"Princeton Bancorp, Inc.",Banks - Regional,226.96M
BPT,https://stockanalysis.com/stocks/bpt/,BP Prudhoe Bay Royalty Trust,Oil & Gas Midstream,37.02M
BPTH,https://stockanalysis.com/stocks/bpth/,"Bio-Path Holdings, Inc.",Biotechnology,3.83M
BQ,https://stockanalysis.com/stocks/bq/,Boqii Holding Limited,Specialty Retail,1.46M
BR,https://stockanalysis.com/stocks/br/,"Broadridge Financial Solutions, Inc.",Information Technology Services,24.64B
BRAC,https://stockanalysis.com/stocks/brac/,Broad Capital Acquisition Corp.,Shell Companies,54.15M
BRAG,https://stockanalysis.com/stocks/brag/,Bragg Gaming Group Inc.,Gambling,126.51M
BRBR,https://stockanalysis.com/stocks/brbr/,"BellRing Brands, Inc.",Packaged Foods,7.25B
BRBS,https://stockanalysis.com/stocks/brbs/,"Blue Ridge Bankshares, Inc.",Banks - Regional,206.54M
BRC,https://stockanalysis.com/stocks/brc/,Brady Corporation,Security & Protection Services,3.44B
BRCC,https://stockanalysis.com/stocks/brcc/,BRC Inc.,Packaged Foods,298.80M
BRDG,https://stockanalysis.com/stocks/brdg/,Bridge Investment Group Holdings Inc.,Asset Management,321.09M
BREA,https://stockanalysis.com/stocks/brea/,Brera Holdings PLC,Entertainment,8.37M
BRFH,https://stockanalysis.com/stocks/brfh/,"Barfresh Food Group, Inc.",Beverages - Non-Alcoholic,50.14M
BRFS,https://stockanalysis.com/stocks/brfs/,BRF S.A.,Packaged Foods,7.70B
BRID,https://stockanalysis.com/stocks/brid/,Bridgford Foods Corporation,Packaged Foods,96.21M
BRK.A,https://stockanalysis.com/stocks/brk.a/,Berkshire Hathaway Inc.,Insurance - Diversified,962.16B
BRK.B,https://stockanalysis.com/stocks/brk.b/,Berkshire Hathaway Inc.,Insurance - Diversified,966.16B
BRKH,https://stockanalysis.com/stocks/brkh/,BurTech Acquisition Corp.,Shell Companies,169.67M
BRKL,https://stockanalysis.com/stocks/brkl/,"Brookline Bancorp, Inc.",Banks - Regional,868.67M
BRKR,https://stockanalysis.com/stocks/brkr/,Bruker Corporation,Medical Devices,9.85B
BRLS,https://stockanalysis.com/stocks/brls/,Borealis Foods Inc.,Packaged Foods,169.85M
BRLT,https://stockanalysis.com/stocks/brlt/,"Brilliant Earth Group, Inc.",Luxury Goods,27.89M
BRN,https://stockanalysis.com/stocks/brn/,"Barnwell Industries, Inc.",Oil & Gas Exploration & Production,22.66M
BRNS,https://stockanalysis.com/stocks/brns/,Barinthus Biotherapeutics plc,Biotechnology,49.27M
BRO,https://stockanalysis.com/stocks/bro/,"Brown & Brown, Inc.",Insurance Brokers,29.51B
BROG,https://stockanalysis.com/stocks/brog/,Brooge Energy Limited,Oil & Gas Midstream,109.58M
BROS,https://stockanalysis.com/stocks/bros/,Dutch Bros Inc.,Restaurants,3.62B
BRSP,https://stockanalysis.com/stocks/brsp/,"BrightSpire Capital, Inc.",REIT - Mortgage,741.97M
BRT,https://stockanalysis.com/stocks/brt/,BRT Apartments Corp.,REIT - Residential,358.68M
BRTX,https://stockanalysis.com/stocks/brtx/,"BioRestorative Therapies, Inc.",Biotechnology,11.69M
BRX,https://stockanalysis.com/stocks/brx/,Brixmor Property Group Inc.,REIT - Retail,8.00B
BRY,https://stockanalysis.com/stocks/bry/,Berry Corporation,Oil & Gas Exploration & Production,487.02M
BRZE,https://stockanalysis.com/stocks/brze/,"Braze, Inc.",Software - Application,4.50B
BSAC,https://stockanalysis.com/stocks/bsac/,Banco Santander-Chile,Banks - Regional,9.76B
BSBK,https://stockanalysis.com/stocks/bsbk/,Bogota Financial Corp.,Banks - Regional,89.33M
BSBR,https://stockanalysis.com/stocks/bsbr/,Banco Santander (Brasil) S.A.,Banks - Regional,20.98B
BSET,https://stockanalysis.com/stocks/bset/,"Bassett Furniture Industries, Incorporated","Furnishings, Fixtures & Appliances",112.41M
BSFC,https://stockanalysis.com/stocks/bsfc/,Blue Star Foods Corp.,Packaged Foods,3.54M
BSIG,https://stockanalysis.com/stocks/bsig/,BrightSphere Investment Group Inc.,Asset Management,863.66M
BSLK,https://stockanalysis.com/stocks/bslk/,"Bolt Projects Holdings, Inc.",Shell Companies,162.98M
BSM,https://stockanalysis.com/stocks/bsm/,"Black Stone Minerals, L.P.",Oil & Gas Exploration & Production,3.13B
BSRR,https://stockanalysis.com/stocks/bsrr/,Sierra Bancorp,Banks - Regional,395.03M
BSVN,https://stockanalysis.com/stocks/bsvn/,Bank7 Corp.,Banks - Regional,357.82M
BSX,https://stockanalysis.com/stocks/bsx/,Boston Scientific Corporation,Medical Devices,116.06B
BSY,https://stockanalysis.com/stocks/bsy/,"Bentley Systems, Incorporated",Software - Application,15.95B
BTAI,https://stockanalysis.com/stocks/btai/,"BioXcel Therapeutics, Inc.",Biotechnology,27.73M
BTBD,https://stockanalysis.com/stocks/btbd/,"BT Brands, Inc.",Restaurants,8.61M
BTBT,https://stockanalysis.com/stocks/btbt/,"Bit Digital, Inc.",Capital Markets,552.26M
BTCM,https://stockanalysis.com/stocks/btcm/,BIT Mining Limited,Information Technology Services,26.00M
BTCS,https://stockanalysis.com/stocks/btcs/,BTCS Inc.,Capital Markets,19.79M
BTCT,https://stockanalysis.com/stocks/btct/,BTC Digital Ltd.,Computer Hardware,4.48M
BTDR,https://stockanalysis.com/stocks/btdr/,Bitdeer Technologies Group,Software - Application,948.76M
BTE,https://stockanalysis.com/stocks/bte/,Baytex Energy Corp.,Oil & Gas Exploration & Production,2.77B
BTG,https://stockanalysis.com/stocks/btg/,B2Gold Corp.,Gold,3.82B
BTI,https://stockanalysis.com/stocks/bti/,British American Tobacco p.l.c.,Tobacco,80.05B
BTM,https://stockanalysis.com/stocks/btm/,Bitcoin Depot Inc.,Capital Markets,30.54M
BTMD,https://stockanalysis.com/stocks/btmd/,biote Corp.,Medical Care Facilities,178.21M
BTOC,https://stockanalysis.com/stocks/btoc/,Armlogi Holding Corp.,Integrated Freight & Logistics,183.87M
BTOG,https://stockanalysis.com/stocks/btog/,Bit Origin Ltd,Capital Markets,12.08M
BTSG,https://stockanalysis.com/stocks/btsg/,"BrightSpring Health Services, Inc.",Health Information Services,2.09B
BTTR,https://stockanalysis.com/stocks/bttr/,Better Choice Company Inc.,Packaged Foods,4.65M
BTU,https://stockanalysis.com/stocks/btu/,Peabody Energy Corporation,Thermal Coal,2.92B
BUD,https://stockanalysis.com/stocks/bud/,Anheuser-Busch InBev SA/NV,Beverages - Brewers,120.02B
BUJA,https://stockanalysis.com/stocks/buja/,Bukit Jalil Global Acquisition 1 Ltd,Shell Companies,85.08M
BUR,https://stockanalysis.com/stocks/bur/,Burford Capital Limited,Asset Management,2.93B
BURL,https://stockanalysis.com/stocks/burl/,"Burlington Stores, Inc.",Apparel Retail,17.15B
BURU,https://stockanalysis.com/stocks/buru/,"Nuburu, Inc.",Specialty Industrial Machinery,1.48M
BUSE,https://stockanalysis.com/stocks/buse/,First Busey Corporation,Banks - Regional,1.47B
BV,https://stockanalysis.com/stocks/bv/,"BrightView Holdings, Inc.",Specialty Business Services,1.49B
BVFL,https://stockanalysis.com/stocks/bvfl/,"BV Financial, Inc.",Banks - Regional,161.02M
BVN,https://stockanalysis.com/stocks/bvn/,Compañía de Minas Buenaventura S.A.A.,Other Precious Metals & Mining,3.44B
BVS,https://stockanalysis.com/stocks/bvs/,Bioventus Inc.,Medical Devices,594.50M
BW,https://stockanalysis.com/stocks/bw/,"Babcock & Wilcox Enterprises, Inc.",Specialty Industrial Machinery,101.42M
BWA,https://stockanalysis.com/stocks/bwa/,BorgWarner Inc.,Auto Parts,7.53B
BWAY,https://stockanalysis.com/stocks/bway/,BrainsWay Ltd.,Medical Devices,129.71M
BWB,https://stockanalysis.com/stocks/bwb/,"Bridgewater Bancshares, Inc.",Banks - Regional,359.38M
BWEN,https://stockanalysis.com/stocks/bwen/,"Broadwind, Inc.",Specialty Industrial Machinery,48.81M
BWFG,https://stockanalysis.com/stocks/bwfg/,"Bankwell Financial Group, Inc.",Banks - Regional,205.04M
BWIN,https://stockanalysis.com/stocks/bwin/,"The Baldwin Insurance Group, Inc.",Insurance Brokers,2.88B
BWLP,https://stockanalysis.com/stocks/bwlp/,BW LPG Limited,Marine Shipping,2.04B
BWMN,https://stockanalysis.com/stocks/bwmn/,Bowman Consulting Group Ltd.,Engineering & Construction,445.48M
BWMX,https://stockanalysis.com/stocks/bwmx/,"Betterware de México, S.A.P.I. de C.V.",Specialty Retail,524.39M
BWXT,https://stockanalysis.com/stocks/bwxt/,"BWX Technologies, Inc.",Aerospace & Defense,9.20B
BX,https://stockanalysis.com/stocks/bx/,Blackstone Inc.,Asset Management,103.19B
BXC,https://stockanalysis.com/stocks/bxc/,BlueLinx Holdings Inc.,Industrial Distribution,840.62M
BXMT,https://stockanalysis.com/stocks/bxmt/,"Blackstone Mortgage Trust, Inc.",REIT - Mortgage,3.13B
BXP,https://stockanalysis.com/stocks/bxp/,"BXP, Inc.",REIT - Office,11.14B
BY,https://stockanalysis.com/stocks/by/,"Byline Bancorp, Inc.",Banks - Regional,1.17B
BYD,https://stockanalysis.com/stocks/byd/,Boyd Gaming Corporation,Resorts & Casinos,5.43B
BYFC,https://stockanalysis.com/stocks/byfc/,Broadway Financial Corporation,Banks - Regional,60.64M
BYND,https://stockanalysis.com/stocks/bynd/,"Beyond Meat, Inc.",Packaged Foods,415.60M
